"TMSTAMP","batt_volt_Avg","lightbar","run_number","run_ID","TMSTAMP_above","batt_volt_above_Avg","quantum_34121_Avg","Sun8004_Global_Avg","Sun8004_Diffuse_Avg"
"2019-01-23 08:40:08",12.43844,589.5891,0,"morning","2019-01-23 08:40:08",12.51864,618.8389,611.4197,550.9571
"2019-01-23 08:40:09",12.4329,590.6808,0,"morning","2019-01-23 08:40:09",12.51864,618.8389,611.4197,549.5984
"2019-01-23 08:40:10",12.4329,591.7727,0,"morning","2019-01-23 08:40:10",12.51864,617.7988,610.7404,548.2397
"2019-01-23 08:40:11",12.4329,589.5891,0,"morning","2019-01-23 08:40:11",12.51864,616.7588,608.7023,546.881
"2019-01-23 08:40:12",12.4329,590.6808,0,"morning","2019-01-23 08:40:12",12.51864,617.7988,608.7023,545.5223
"2019-01-23 08:40:13",12.4329,597.2319,0,"morning","2019-01-23 08:40:13",12.51864,617.7988,610.061,543.4842
"2019-01-23 08:40:14",12.4329,604.8747,0,"morning","2019-01-23 08:40:14",12.51864,616.7588,610.061,543.4842
"2019-01-23 08:40:15",12.42736,593.9564,0,"morning","2019-01-23 08:40:15",12.51864,617.7988,610.061,542.8049
"2019-01-23 08:40:16",12.4329,578.6707,0,"morning","2019-01-23 08:40:16",12.51864,626.1194,614.1371,542.8049
"2019-01-23 08:40:17",12.4329,571.0279,0,"morning","2019-01-23 08:40:17",12.51864,631.3197,625.6862,542.8049
"2019-01-23 08:40:18",12.42736,566.6606,0,"morning","2019-01-23 08:40:18",12.51864,615.7188,618.8926,542.8049
"2019-01-23 08:40:19",12.42736,562.2933,0,"morning","2019-01-23 08:40:19",12.51864,601.1578,598.512,542.8049
"2019-01-23 08:40:20",12.42736,557.9259,0,"morning","2019-01-23 08:40:20",12.51864,594.9174,591.0391,542.8049
"2019-01-23 08:40:21",12.42736,554.6505,0,"morning","2019-01-23 08:40:21",12.51864,590.7571,586.6233,542.8049
"2019-01-23 08:40:22",12.42736,552.4668,0,"morning","2019-01-23 08:40:22",12.51864,585.5568,580.8488,542.8049
"2019-01-23 08:40:23",12.42736,551.3749,0,"morning","2019-01-23 08:40:23",12.51864,582.4366,578.8107,543.4842
