"TMSTAMP","batt_volt_Avg","lightbar","run_number","run_ID","TMSTAMP_above","batt_volt_above_Avg","quantum_34121_Avg","Sun8004_Global_Avg","Sun8004_Diffuse_Avg"
"2019-01-23 09:12:40",12.43738,102.6122,1,"morning","2019-01-23 09:12:40",12.51301,709.3721,712.636,708.5599
"2019-01-23 09:12:41",12.43185,100.429,1,"morning","2019-01-23 09:12:41",12.51301,707.2918,710.598,708.5599
"2019-01-23 09:12:42",12.43185,94.97088,1,"morning","2019-01-23 09:12:42",12.51301,705.2115,709.2393,707.541
"2019-01-23 09:12:43",12.43185,86.23792,1,"morning","2019-01-23 09:12:43",12.51301,703.1313,708.5599,706.5219
"2019-01-23 09:12:44",12.43185,76.41335,1,"morning","2019-01-23 09:12:44",12.51301,702.0911,703.8045,702.4458
"2019-01-23 09:12:45",12.43185,68.77201,1,"morning","2019-01-23 09:12:45",12.51854,700.0109,699.7285,698.3698
"2019-01-23 09:12:46",12.43185,66.58878,1,"morning","2019-01-23 09:12:46",12.51301,698.9708,696.6714,694.2936
"2019-01-23 09:12:47",12.42631,87.32954,1,"morning","2019-01-23 09:12:47",12.51301,697.9306,692.9349,691.5762
"2019-01-23 09:12:48",12.42631,155.0099,1,"morning","2019-01-23 09:12:48",12.51301,696.8904,691.5762,689.5382
"2019-01-23 09:12:49",12.43185,215.049,1,"morning","2019-01-23 09:12:49",12.51301,696.8904,690.2175,688.5192
"2019-01-23 09:12:50",12.43185,243.4311,1,"morning","2019-01-23 09:12:50",12.51301,695.8503,690.2175,688.1795
"2019-01-23 09:13:21",12.43734,81.87243,2,"morning","2019-01-23 09:13:21",12.51301,715.6125,701.0872,672.5545
"2019-01-23 09:13:22",12.4318,74.231,2,"morning","2019-01-23 09:13:22",12.51301,716.6526,701.4268,672.5545
"2019-01-23 09:13:23",12.4318,73.13937,2,"morning","2019-01-23 09:13:23",12.51854,717.6927,701.7665,672.5545
"2019-01-23 09:13:24",12.4318,72.04774,2,"morning","2019-01-23 09:13:24",12.51301,718.7329,703.1252,674.2529
"2019-01-23 09:13:25",12.42626,75.32263,2,"morning","2019-01-23 09:13:25",12.51301,719.773,705.1632,674.5925
"2019-01-23 09:13:26",12.42626,66.58958,2,"morning","2019-01-23 09:13:26",12.51301,720.8132,705.8426,675.2719
"2019-01-23 09:13:27",12.42626,60.03978,2,"morning","2019-01-23 09:13:27",12.51854,722.8934,708.5599,677.3099
"2019-01-23 09:13:28",12.42626,76.41427,2,"morning","2019-01-23 09:13:28",12.51854,723.9336,709.9186,678.6686
"2019-01-23 09:13:29",12.42626,150.6453,2,"morning","2019-01-23 09:13:29",12.51301,726.0139,712.636,680.0273
"2019-01-23 09:13:30",12.42626,191.0357,2,"morning","2019-01-23 09:13:30",12.51854,728.0941,714.6741,681.386
"2019-01-23 09:13:31",12.42626,208.5018,2,"morning","2019-01-23 09:13:31",12.51301,729.1342,715.3535,682.0654
"2019-01-23 09:13:43",12.43734,89.51385,3,"morning","2019-01-23 09:13:43",12.51301,790.5022,786.685,743.2067
"2019-01-23 09:13:44",12.42626,92.78875,3,"morning","2019-01-23 09:13:44",12.51301,802.9838,801.6306,743.2067
"2019-01-23 09:13:45",12.42626,82.96406,3,"morning","2019-01-23 09:13:45",12.51854,815.4654,813.8589,743.2067
"2019-01-23 09:13:46",12.42626,56.76488,3,"morning","2019-01-23 09:13:46",12.51301,833.1477,826.0872,743.2067
"2019-01-23 09:13:47",12.42626,41.48203,3,"morning","2019-01-23 09:13:47",12.51301,887.2347,874.3209,743.2067
"2019-01-23 09:13:48",12.42626,48.03182,3,"morning","2019-01-23 09:13:48",12.51854,934.0407,927.31,743.2067
"2019-01-23 09:13:49",12.42626,75.32263,3,"morning","2019-01-23 09:13:49",12.51301,983.9672,974.8644,743.2067
"2019-01-23 09:13:50",12.42626,120.0796,3,"morning","2019-01-23 09:13:50",12.51854,1066.138,1064.538,744.5654
"2019-01-23 09:13:51",12.42626,181.211,3,"morning","2019-01-23 09:13:51",12.51301,1007.89,1066.576,743.2067
"2019-01-23 09:13:52",12.42626,220.5097,3,"morning","2019-01-23 09:13:52",12.51301,898.6761,937.5002,739.8099
"2019-01-23 09:13:53",12.42626,242.3424,3,"morning","2019-01-23 09:13:53",12.51301,850.83,863.4513,738.4513
"2019-01-23 09:14:24",12.43177,89.51472,4,"morning","2019-01-23 09:14:24",12.51854,774.8943,777.8535,744.2257
"2019-01-23 09:14:25",12.42623,91.69801,4,"morning","2019-01-23 09:14:25",12.51301,775.9344,780.5709,746.6035
"2019-01-23 09:14:26",12.42623,89.51472,4,"morning","2019-01-23 09:14:26",12.51301,778.0146,781.9296,750.0002
"2019-01-23 09:14:27",12.42623,79.68993,4,"morning","2019-01-23 09:14:27",12.51854,779.0548,785.3263,754.0763
"2019-01-23 09:14:28",12.42623,63.31529,4,"morning","2019-01-23 09:14:28",12.51301,781.1351,788.0437,756.7936
"2019-01-23 09:14:29",12.42623,57.85708,4,"morning","2019-01-23 09:14:29",12.51854,784.2554,790.0817,761.5491
"2019-01-23 09:14:30",12.42623,85.14816,4,"morning","2019-01-23 09:14:30",12.51301,787.3758,793.4785,764.9459
"2019-01-23 09:14:31",12.42623,139.7303,4,"morning","2019-01-23 09:14:31",12.51854,790.4962,795.5165,768.0029
"2019-01-23 09:14:32",12.42623,194.3125,4,"morning","2019-01-23 09:14:32",12.51854,795.6968,797.5546,771.06
"2019-01-23 09:14:33",12.42069,244.528,4,"morning","2019-01-23 09:14:33",12.51301,800.8975,800.2719,774.4567
"2019-01-23 09:14:34",12.42069,271.8191,4,"morning","2019-01-23 09:14:34",12.51301,808.1783,801.6306,775.4757
"2019-01-23 09:14:48",12.43177,126.6306,5,"morning","2019-01-23 09:14:48",12.51854,939.2343,948.3698,788.0437
"2019-01-23 09:14:49",12.42623,100.4312,5,"morning","2019-01-23 09:14:49",12.51301,919.4719,917.1198,786.685
"2019-01-23 09:14:50",12.42623,113.5309,5,"morning","2019-01-23 09:14:50",12.51301,926.7527,915.0817,786.685
"2019-01-23 09:14:51",12.42623,122.264,5,"morning","2019-01-23 09:14:51",12.51301,931.9534,924.5926,785.3263
"2019-01-23 09:14:52",12.42623,116.8058,5,"morning","2019-01-23 09:14:52",12.51301,936.1139,928.6687,785.3263
"2019-01-23 09:14:53",12.42623,67.68186,5,"morning","2019-01-23 09:14:53",12.51854,936.1139,935.4622,784.9866
"2019-01-23 09:14:54",12.42069,60.04036,5,"morning","2019-01-23 09:14:54",12.51854,929.8732,927.9894,784.9866
"2019-01-23 09:14:55",12.42623,135.3637,5,"morning","2019-01-23 09:14:55",12.51301,947.5553,937.5002,784.9866
"2019-01-23 09:14:56",12.42069,236.8865,5,"morning","2019-01-23 09:14:56",12.51854,982.9196,972.8263,786.685
"2019-01-23 09:14:57",12.42069,301.2935,5,"morning","2019-01-23 09:14:57",12.51854,980.8394,993.2068,786.685
"2019-01-23 09:14:58",12.42069,276.1857,5,"morning","2019-01-23 09:14:58",12.51854,958.9967,972.8263,786.685
