"TMSTAMP","RECNBR","batt_volt_Avg","lightbar","run_number","TMSTAMP","RECNBR","batt_volt_Avg","quantum_34121_Avg","Sun8004_Avg.1.","Sun8004_Avg.2."
"2019-01-22 08:53:50",0,12.45036,628.8947,0,"2019-01-22 08:53:50",716,11.53583,652.1479,632.2406,613.5554
"2019-01-22 08:53:51",1,12.44482,629.9865,0,"2019-01-22 08:53:51",717,11.53583,653.188,633.2598,614.9143
"2019-01-22 08:53:52",2,12.44482,631.0784,0,"2019-01-22 08:53:52",718,11.53583,654.2281,633.9393,615.5938
"2019-01-22 08:53:53",3,12.44482,633.262,0,"2019-01-22 08:53:53",719,11.54136,655.2682,635.9777,617.6321
"2019-01-22 08:53:54",4,12.43928,633.262,0,"2019-01-22 08:53:54",720,11.53583,655.2682,636.6572,618.9911
"2019-01-22 08:53:55",5,12.43928,634.3539,0,"2019-01-22 08:53:55",721,11.53583,656.3083,637.6763,620.35
"2019-01-22 08:53:56",6,12.43928,635.4457,0,"2019-01-22 08:53:56",722,11.53583,657.3484,638.6956,621.0295
"2019-01-22 08:53:57",7,12.43886,636.5205,0,"2019-01-22 08:53:57",723,11.53583,658.3885,640.0544,623.0679
"2019-01-22 08:53:58",8,12.43886,637.6123,0,"2019-01-22 08:53:58",724,11.53583,658.3885,640.0544,623.0679
"2019-01-22 08:53:59",9,12.43886,637.6123,0,"2019-01-22 08:53:59",725,11.53583,659.4286,642.0928,624.087
"2019-01-22 08:54:00",10,12.43886,638.7041,0,"2019-01-22 08:54:00",726,11.54136,660.4688,642.4326,624.087
"2019-01-22 08:54:01",11,12.43886,639.7959,0,"2019-01-22 08:54:01",727,11.54136,661.5089,642.7723,623.7473
"2019-01-22 08:54:02",12,12.43886,639.7959,0,"2019-01-22 08:54:02",728,11.53583,661.5089,643.4518,624.087
"2019-01-22 08:54:03",13,12.43886,640.8877,0,"2019-01-22 08:54:03",729,11.53583,662.549,643.4518,624.087
"2019-01-22 08:54:04",14,12.43886,641.9795,0,"2019-01-22 08:54:04",730,11.53583,663.5891,644.1312,624.087
"2019-01-22 08:54:05",15,12.43886,641.9795,0,"2019-01-22 08:54:05",731,11.53583,663.5891,643.7915,623.0679
"2019-01-22 08:54:06",16,12.43886,643.0713,0,"2019-01-22 08:54:06",732,11.53583,664.6292,644.1312,623.0679
"2019-01-22 08:54:07",17,12.43886,644.1631,0,"2019-01-22 08:54:07",733,11.53583,665.6693,644.1312,623.0679
"2019-01-22 08:54:08",18,12.43886,644.1631,0,"2019-01-22 08:54:08",734,11.54136,665.6693,644.1312,623.0679
"2019-01-22 08:54:09",19,12.43886,645.2549,0,"2019-01-22 08:54:09",735,11.53583,666.7094,644.1312,623.0679
"2019-01-22 08:54:10",20,12.43886,645.2549,0,"2019-01-22 08:54:10",736,11.53583,666.7094,644.8107,623.0679
"2019-01-22 08:54:11",21,12.43886,645.2549,0,"2019-01-22 08:54:11",737,11.53583,667.7496,645.1505,623.0679
"2019-01-22 08:54:12",22,12.43886,646.3467,0,"2019-01-22 08:54:12",738,11.53583,667.7496,644.8107,623.0679
"2019-01-22 08:54:13",23,12.43886,646.3467,0,"2019-01-22 08:54:13",739,11.54136,668.7897,645.1505,623.0679
"2019-01-22 08:54:14",24,12.43886,647.4385,0,"2019-01-22 08:54:14",740,11.53583,668.7897,644.8107,623.0679
"2019-01-22 08:54:15",25,12.43886,647.4385,0,"2019-01-22 08:54:15",741,11.53583,668.7897,645.4902,623.0679
"2019-01-22 08:54:16",26,12.43886,647.4385,0,"2019-01-22 08:54:16",742,11.53583,669.8298,645.1505,623.0679
"2019-01-22 08:54:17",27,12.43886,647.4385,0,"2019-01-22 08:54:17",743,11.53583,669.8298,645.4902,624.4268
"2019-01-22 08:54:18",28,12.43886,647.4385,0,"2019-01-22 08:54:18",744,11.54136,669.8298,645.4902,623.7473
